threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
0.05,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.06,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.07,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.08,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.09,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.1,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.11,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.12,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.13,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.14,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.15,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.16,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.17,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.18,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.19,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.2,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.21,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.22,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.23,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.24,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.25,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.26,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.27,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.28,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.29,0.021398002853067047,1.0,0.04189944134078212,0.0,1.0,0.0,0.5
0.3,0.042492917847025496,1.0,0.08152173913043478,0.5072886297376094,0.49271137026239065,0.0,0.7536443148688047
0.31,0.0473186119873817,1.0,0.09036144578313253,0.5597667638483965,0.4402332361516035,0.0,0.7798833819241983
0.32,0.04777070063694268,1.0,0.0911854103343465,0.5641399416909622,0.4358600583090379,0.0,0.782069970845481
0.33,0.04792332268370607,1.0,0.09146341463414634,0.565597667638484,0.43440233236151604,0.0,0.782798833819242
0.34,0.04807692307692308,1.0,0.09174311926605505,0.5670553935860059,0.4329446064139942,0.0,0.7835276967930029
0.35,0.04838709677419355,1.0,0.09230769230769231,0.5699708454810496,0.43002915451895046,0.0,0.7849854227405249
0.36,0.04854368932038835,1.0,0.09259259259259259,0.5714285714285714,0.42857142857142855,0.0,0.7857142857142857
0.37,0.048859934853420196,1.0,0.09316770186335403,0.5743440233236151,0.42565597667638483,0.0,0.7871720116618075
0.38,0.048859934853420196,1.0,0.09316770186335403,0.5743440233236151,0.42565597667638483,0.0,0.7871720116618075
0.39,0.049342105263157895,1.0,0.09404388714733543,0.5787172011661808,0.42128279883381925,0.0,0.7893586005830904
0.4,0.049342105263157895,1.0,0.09404388714733543,0.5787172011661808,0.42128279883381925,0.0,0.7893586005830904
0.41,0.049342105263157895,1.0,0.09404388714733543,0.5787172011661808,0.42128279883381925,0.0,0.7893586005830904
0.42,0.04950495049504951,1.0,0.09433962264150944,0.5801749271137027,0.4198250728862974,0.0,0.7900874635568513
0.43,0.04966887417218543,1.0,0.0946372239747634,0.5816326530612245,0.41836734693877553,0.0,0.7908163265306123
0.44,0.04983388704318937,1.0,0.0949367088607595,0.5830903790087464,0.41690962099125367,0.0,0.7915451895043732
0.45,0.04983388704318937,1.0,0.0949367088607595,0.5830903790087464,0.41690962099125367,0.0,0.7915451895043732
0.46,0.050335570469798654,1.0,0.09584664536741214,0.5874635568513119,0.41253644314868804,0.0,0.7937317784256559
0.47,0.05084745762711865,1.0,0.0967741935483871,0.5918367346938775,0.40816326530612246,0.0,0.7959183673469388
0.48,0.05172413793103448,1.0,0.09836065573770492,0.5991253644314869,0.4008746355685131,0.0,0.7995626822157434
0.49,0.04642857142857143,0.8666666666666667,0.08813559322033898,0.6107871720116618,0.3892128279883382,0.13333333333333333,0.7387269193391642
0.5,0.051181102362204724,0.8666666666666667,0.09665427509293681,0.6486880466472303,0.35131195335276966,0.13333333333333333,0.7576773566569486
0.51,0.0625,0.8666666666666667,0.11659192825112108,0.7157434402332361,0.28425655976676384,0.13333333333333333,0.7912050534499514
0.52,0.06741573033707865,0.8,0.12435233160621761,0.7580174927113703,0.24198250728862974,0.2,0.7790087463556852
0.53,0.0718562874251497,0.8,0.13186813186813187,0.7740524781341108,0.2259475218658892,0.2,0.7870262390670555
0.54,0.07692307692307693,0.8,0.14035087719298245,0.7900874635568513,0.2099125364431487,0.2,0.7950437317784257
0.55,0.08391608391608392,0.8,0.1518987341772152,0.8090379008746356,0.19096209912536444,0.2,0.8045189504373178
0.56,0.09302325581395349,0.8,0.16666666666666666,0.8294460641399417,0.17055393586005832,0.2,0.8147230320699709
0.57,0.09821428571428571,0.7333333333333333,0.1732283464566929,0.8527696793002916,0.14723032069970846,0.26666666666666666,0.7930515063168124
0.58,0.10679611650485436,0.7333333333333333,0.1864406779661017,0.8658892128279884,0.13411078717201166,0.26666666666666666,0.7996112730806608
0.59,0.09375,0.6,0.16216216216216217,0.8731778425655977,0.12682215743440234,0.4,0.7365889212827988
0.6,0.0989010989010989,0.6,0.16981132075471697,0.880466472303207,0.119533527696793,0.4,0.7402332361516035
0.61,0.0975609756097561,0.5333333333333333,0.16494845360824742,0.892128279883382,0.10787172011661808,0.4666666666666667,0.7127308066083576
0.62,0.109375,0.4666666666666667,0.17721518987341772,0.9169096209912536,0.08309037900874636,0.5333333333333333,0.6917881438289601
