operating_mode,selected_threshold,precision,recall,f1,specificity,false_positive_rate,balanced_accuracy
Mode A: High-Sensitivity Mode,0.48,0.08181818181818182,1.0,0.15126050420168066,0.6920731707317073,0.3079268292682927,0.8460365853658536
Mode B: Balanced Mode,0.65,0.2857142857142857,0.2222222222222222,0.25,0.9847560975609756,0.01524390243902439,0.6034891598915989
Mode C: Low-False-Alarm Mode,0.65,0.2857142857142857,0.2222222222222222,0.25,0.9847560975609756,0.01524390243902439,0.6034891598915989
