experiment,w_spatial,w_terrain,w_temporal,val_pr_auc,val_roc_auc
Exp A: Equal weights,0.333,0.333,0.334,0.18329395771108298,0.8839650145772595
Exp B: Spatial-focused,0.5,0.25,0.25,0.18329395771108298,0.8839650145772595
Exp C: Terrain-focused,0.25,0.5,0.25,0.18329395771108298,0.8839650145772595
Exp D: Temporal-focused,0.25,0.25,0.5,0.18329395771108298,0.8839650145772595
Exp E: Spatial + Temporal,0.5,0.0,0.5,0.18329395771108298,0.8839650145772595
Exp F: Terrain + Temporal,0.0,0.5,0.5,0.18329395771108298,0.8839650145772595
Exp G: Spatial + Terrain,0.5,0.5,0.0,0.021398002853067047,0.5
