configuration,w_spatial,w_terrain,w_temporal,test_pr_auc,test_roc_auc,precision,recall,f1,specificity,balanced_accuracy
U-Net Spatial Only,1.0,0.0,0.0,0.026706231454005934,0.5,0.0,0.0,0.0,1.0,0.5
Terrain SRTM Only,0.0,1.0,0.0,0.026706231454005934,0.5,0.026706231454005934,1.0,0.05202312138728324,0.0,0.5
LSTM Temporal Only,0.0,0.0,1.0,0.10985539931060892,0.8682249322493225,0.08181818181818182,1.0,0.15126050420168066,0.6920731707317073,0.8460365853658536
U-Net + Terrain,0.5,0.5,0.0,0.026706231454005934,0.5,0.0,0.0,0.0,1.0,0.5
U-Net + LSTM,0.5,0.0,0.5,0.10985539931060892,0.8682249322493225,0.09210526315789473,0.7777777777777778,0.16470588235294117,0.7896341463414634,0.7837059620596206
Terrain + LSTM,0.0,0.5,0.5,0.10985539931060892,0.8682249322493225,0.08108108108108109,1.0,0.15,0.6890243902439024,0.8445121951219512
Multimodal Fusion (Exp D: Temporal-focused),0.25,0.25,0.5,0.10985539931060892,0.8682249322493225,0.07692307692307693,0.8888888888888888,0.1415929203539823,0.7073170731707317,0.7981029810298103
