rank,latitude,longitude,model_A_probability,model_A_prediction,risk_class,elevation,slope,aspect,curvature,roughness,twi
1,23.75361111111112,86.41666666666667,0.09772,0,LOW,178.0,37.25556564331055,188.66673278808597,0.0091061992570757,19.03667640686035,8.641626358032227
2,23.75388888888889,86.41611111111112,0.095115,0,LOW,172.0,36.910247802734375,215.10903930664065,0.0193506721407175,18.31682777404785,8.658568382263184
3,23.75388888888889,86.41583333333334,0.080416,0,LOW,188.0,34.78622055053711,213.0736083984375,-0.0056913741864264,16.870603561401367,8.712910652160645
4,23.75361111111112,86.41694444444445,0.077507,0,LOW,178.0,34.324310302734375,174.0709991455078,0.0056913741864264,17.269826889038086,8.739068031311035
5,23.75388888888889,86.4163888888889,0.068017,0,LOW,160.0,32.69840240478516,207.3910675048828,0.0250420477241277,16.328418731689453,8.814306259155273
6,23.75555555555556,86.41444444444446,0.064883,0,LOW,176.0,32.11505126953125,252.7670440673828,-0.0091061992570757,14.332902908325195,8.845490455627441
7,23.756111111111117,86.41416666666667,0.062911,0,LOW,185.0,31.73440742492676,266.2522277832031,-0.0022765498142689,14.384490966796877,8.820019721984863
8,23.75583333333334,86.41444444444446,0.062556,0,LOW,168.0,31.664661407470703,258.2769470214844,0.0125210238620638,14.391355514526367,8.860390663146973
9,23.75666666666667,86.41444444444446,0.061011,0,LOW,178.0,31.356922149658203,302.9539794921875,-2.775557561562892e-17,14.229165077209473,8.79089641571045
10,23.756388888888893,86.41416666666667,0.058383,0,LOW,185.0,30.816242218017575,284.5214538574219,0.0079679237678647,13.865313529968262,8.823253631591797
11,23.754722222222227,86.415,0.058332,0,LOW,175.0,30.805700302124023,224.6132354736328,-0.0022765498142689,14.548344612121582,8.889404296875
12,23.75444444444445,86.41527777777779,0.058152,0,LOW,178.0,30.76781463623047,214.7574462890625,0.0011382749071344,14.330318450927734,8.881680488586426
13,23.75583333333334,86.41416666666667,0.057633,0,LOW,188.0,30.657882690429688,258.9918518066406,-0.0045530996285378,13.646326065063477,8.868803024291992
14,23.75361111111112,86.41722222222224,0.057039,0,LOW,182.0,30.530988693237305,155.72775268554688,0.0056913741864264,15.142125129699709,8.86052417755127
15,23.756388888888893,86.41444444444446,0.056238,0,LOW,166.0,30.357908248901367,288.5105285644531,0.0204889476299285,13.953184127807615,8.873872756958008
16,23.75388888888889,86.41722222222224,0.054998,0,LOW,165.0,30.08531951904297,141.3975830078125,0.0170741230249404,14.06686019897461,8.882428169250488
17,23.75444444444445,86.415,0.053791,0,LOW,189.0,29.814496994018555,219.10678100585935,-0.0011382749071344,14.140389442443848,8.883728981018066
18,23.75388888888889,86.4175,0.053764,0,LOW,182.0,29.808311462402344,134.3107452392578,-0.0182123985141515,13.79837131500244,8.877020835876465
19,23.75416666666667,86.41555555555557,0.053729,0,LOW,182.0,29.800466537475582,219.70407104492188,0.003414824604988,13.819828033447266,8.910831451416016
20,23.756111111111117,86.41444444444446,0.05309,0,LOW,165.0,29.65439796447754,267.1511535644531,0.0136592984199523,13.349989891052246,8.927013397216797
21,23.75527777777778,86.41444444444446,0.050966,0,LOW,181.0,29.15713119506836,250.089599609375,0.0011382749071344,13.48341464996338,8.948993682861328
22,23.754722222222227,86.41472222222224,0.050288,0,LOW,185.0,28.994430541992188,223.1609039306641,0.0056913741864264,13.26742935180664,8.924602508544922
23,23.754722222222227,86.41527777777779,0.04845,0,LOW,160.0,28.542200088500977,218.0192108154297,0.0216272231191396,13.339813232421877,8.971001625061035
24,23.75555555555556,86.41472222222224,0.047603,0,LOW,155.0,28.328351974487305,247.5156097412109,0.0239037722349166,12.455352783203123,8.973347663879395
25,23.75416666666667,86.41583333333334,0.047133,0,LOW,170.0,28.20807266235352,223.65550231933597,0.0113827483728528,12.896549224853516,8.981547355651855
26,23.75527777777778,86.41472222222224,0.047113,0,LOW,167.0,28.202911376953125,239.6650390625,-0.003414824604988,12.978614807128906,8.9994535446167
27,23.75416666666667,86.41527777777779,0.044505,0,LOW,194.0,27.51387405395508,216.93084716796875,-0.0091061992570757,12.485053062438965,8.961929321289062
28,23.75388888888889,86.41666666666667,0.044166,0,LOW,154.0,27.42141342163086,188.30450439453125,0.0307334214448928,13.928388595581056,9.014586448669434
29,23.75361111111112,86.4175,0.043296,0,LOW,191.0,27.18141746520996,141.1985321044922,0.0045530996285378,13.124287605285645,8.956130981445312
30,23.75416666666667,86.4175,0.043022,0,LOW,166.0,27.104692459106445,129.18569946289062,0.0102444738149642,12.038005828857422,8.94558048248291
31,23.75416666666667,86.41777777777779,0.042554,0,LOW,179.0,26.972909927368164,131.8518524169922,-0.0022765498142689,12.218181610107422,8.953004837036133
32,23.756944444444446,86.415,0.042316,0,LOW,168.0,26.905351638793945,337.5292358398437,0.0136592984199523,12.418623924255373,8.913033485412598
33,23.75666666666667,86.41472222222224,0.042268,0,LOW,163.0,26.89157485961914,314.54266357421875,0.0147975739091634,12.027745246887209,8.964548110961914
34,23.75555555555556,86.41416666666667,0.042166,0,LOW,192.0,26.862428665161133,257.0872497558594,-0.0068296492099761,12.147244453430176,9.008426666259766
35,23.75444444444445,86.41555555555557,0.041994,0,LOW,170.0,26.813217163085938,214.53350830078125,-0.003414824604988,12.67543601989746,9.037779808044434
36,23.75388888888889,86.41694444444445,0.041955,0,LOW,157.0,26.80200958251953,163.78639221191406,0.0182123985141515,12.87643051147461,9.029059410095217
37,23.755000000000003,86.41444444444446,0.041629,0,LOW,187.0,26.70799446105957,241.17881774902344,0.0022765498142689,11.85092544555664,9.010974884033203
38,23.75666666666667,86.41416666666667,0.041458,0,LOW,195.0,26.65827369689941,295.2619323730469,-0.0159358475357294,12.278657913208008,8.93289566040039
39,23.756944444444446,86.41472222222224,0.041405,0,LOW,178.0,26.642852783203125,321.40460205078125,-0.0056913741864264,12.34783935546875,8.9396333694458
40,23.755000000000003,86.41472222222224,0.041205,0,LOW,173.0,26.58470344543457,235.0033264160156,0.0125210238620638,12.031850814819336,9.066694259643556
41,23.755000000000003,86.415,0.040283,0,LOW,164.0,26.31239891052246,235.09408569335935,-0.0022765498142689,11.794537544250488,9.072453498840332
42,23.75416666666667,86.41805555555557,0.036922,0,LOW,189.0,25.26612091064453,127.45265197753906,0.0045530996285378,11.27216625213623,8.99889087677002
43,23.75388888888889,86.41777777777779,0.036746,0,LOW,190.0,25.208864212036133,136.8782196044922,5.551115123125783e-17,11.678829193115234,9.036036491394045
44,23.75444444444445,86.41805555555557,0.036312,0,LOW,181.0,25.066638946533203,122.98981475830078,0.0022765498142689,11.135528564453123,8.989420890808105
45,23.754722222222227,86.41444444444446,0.036015,0,LOW,197.0,24.968172073364254,226.0107421875,-0.003414824604988,11.440668106079102,9.009486198425291
46,23.754722222222227,86.41833333333334,0.035757,0,LOW,182.0,24.882099151611328,145.893310546875,-0.0045530996285378,11.508451461791992,8.946220397949219
47,23.754722222222227,86.41805555555557,0.035176,0,LOW,175.0,24.685998916625977,134.00833129882812,-0.0147975739091634,11.288582801818848,8.947226524353027
48,23.75444444444445,86.41472222222224,0.035069,0,LOW,200.0,24.64950942993164,221.51466369628903,-0.0125210238620638,11.268879890441896,9.02424144744873
49,23.756944444444446,86.41527777777779,0.034734,0,LOW,165.0,24.53459930419922,349.4272766113281,0.0045530996285378,11.50308609008789,8.982542037963867
50,23.756944444444446,86.41444444444446,0.033657,0,LOW,188.0,24.15823745727539,303.3499450683594,-0.003414824604988,11.259016036987305,9.026970863342283
