latitude,longitude,Slope_Angle,Rainfall_mm,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
23.765000000000004,86.41555555555557,4.4459,228.0,0.2782,0.5526,4.7,1.0746,1,0,0
23.765000000000004,86.41583333333334,9.8708,228.0,0.1297,0.5022,4.7,1.1028,1,0,0
23.764722222222225,86.41472222222224,1.0551,228.0,0.5147,0.5851,4.7,0.9897,1,0,0
23.764722222222225,86.415,0.7393,228.0,0.5948,0.5842,4.7,1.018,1,0,0
23.764722222222225,86.41527777777779,1.5842,228.0,0.4568,0.5807,4.7,1.0463,1,0,0
23.764722222222225,86.41555555555557,2.3755,228.0,0.3935,0.5727,4.7,1.0746,1,0,0
23.764722222222225,86.41583333333334,8.7168,228.0,0.1482,0.5095,4.7,1.1028,1,0,0
23.764722222222225,86.41611111111112,13.1073,228.0,0.0731,0.4749,4.7,1.1311,1,0,0
23.764444444444447,86.41388888888889,2.7312,228.0,0.3126,0.5703,4.7,0.9049,1,0,0
23.764444444444447,86.41416666666667,1.789,228.0,0.3976,0.5814,4.7,0.9332,1,0,0
23.764444444444447,86.41444444444446,1.3705,228.0,0.4519,0.5838,4.7,0.9614,1,0,0
23.764444444444447,86.41472222222224,0.9264,228.0,0.5336,0.5814,4.7,0.9897,1,0,0
23.764444444444447,86.415,2.4357,228.0,0.3482,0.5725,4.7,1.018,1,0,0
23.764444444444447,86.41527777777779,2.5252,228.0,0.3543,0.5727,4.7,1.0463,1,0,0
23.764444444444447,86.41555555555557,1.7129,228.0,0.4492,0.5777,4.7,1.0746,1,0,0
23.764444444444447,86.41583333333334,5.9022,228.0,0.2183,0.5321,4.7,1.1028,1,0,0
23.764444444444447,86.41611111111112,11.1099,228.0,0.1012,0.4875,4.7,1.1311,1,0,0
23.76416666666667,86.41277777777779,3.8149,228.0,0.2329,0.5614,4.7,0.7918,1,0,0
23.76416666666667,86.41305555555556,3.8353,228.0,0.2361,0.5598,4.7,0.8201,1,0,0
23.76416666666667,86.41333333333334,3.5513,228.0,0.2556,0.5634,4.7,0.8483,1,0,0
23.76416666666667,86.41361111111112,3.7672,228.0,0.2467,0.5598,4.7,0.8766,1,0,0
23.76416666666667,86.41388888888889,3.1624,228.0,0.2832,0.5652,4.7,0.9049,1,0,0
23.76416666666667,86.41416666666667,2.9546,228.0,0.2974,0.5685,4.7,0.9332,1,0,0
23.76416666666667,86.41444444444446,3.098,228.0,0.2887,0.5683,4.7,0.9614,1,0,0
23.76416666666667,86.41472222222224,2.3692,228.0,0.3448,0.571,4.7,0.9897,1,0,0
23.76416666666667,86.415,3.7501,228.0,0.2585,0.5618,4.7,1.018,1,0,0
23.76416666666667,86.41527777777779,3.2781,228.0,0.2956,0.5648,4.7,1.0463,1,0,0
23.76416666666667,86.41555555555557,2.5585,228.0,0.3596,0.5689,4.7,1.0746,1,0,0
23.76416666666667,86.41583333333334,2.8614,228.0,0.353,0.5597,4.7,1.1028,1,0,0
23.76416666666667,86.41611111111112,7.0941,228.0,0.183,0.5236,4.7,1.1311,1,0,0
23.763888888888893,86.41250000000001,1.1851,228.0,0.4593,0.5838,4.7,0.7635,1,0,0
23.763888888888893,86.41277777777779,2.1095,228.0,0.3474,0.5756,4.7,0.7918,1,0,0
23.763888888888893,86.41305555555556,2.5252,228.0,0.3166,0.5732,4.7,0.8201,1,0,0
23.763888888888893,86.41333333333334,2.0988,228.0,0.3589,0.5751,4.7,0.8483,1,0,0
23.763888888888893,86.41361111111112,2.7394,228.0,0.3098,0.571,4.7,0.8766,1,0,0
23.763888888888893,86.41388888888889,3.0706,228.0,0.2896,0.5658,4.7,0.9049,1,0,0
23.763888888888893,86.41416666666667,3.2781,228.0,0.2778,0.5646,4.7,0.9332,1,0,0
23.763888888888893,86.41444444444446,4.308,228.0,0.2239,0.5548,4.7,0.9614,1,0,0
23.763888888888893,86.41472222222224,3.9393,228.0,0.2433,0.5591,4.7,0.9897,1,0,0
23.763888888888893,86.415,4.4395,228.0,0.2226,0.5526,4.7,1.018,1,0,0
23.763888888888893,86.41527777777779,3.8353,228.0,0.2584,0.5572,4.7,1.0463,1,0,0
23.763888888888893,86.41555555555557,4.4564,228.0,0.2387,0.5539,4.7,1.0746,1,0,0
23.763888888888893,86.41583333333334,4.2817,228.0,0.2599,0.5554,4.7,1.1028,1,0,0
23.763888888888893,86.41611111111112,3.8831,228.0,0.2917,0.5517,4.7,1.1311,1,0,0
23.763888888888893,86.4163888888889,6.3927,228.0,0.1987,0.5306,4.7,1.1594,1,0,0
23.763611111111118,86.41250000000001,0.0,228.0,0.9499,0.6,4.7,0.7635,1,0,0
23.763611111111118,86.41277777777779,0.3427,228.0,0.7068,0.5926,4.7,0.7918,1,0,0
23.763611111111118,86.41305555555556,1.0551,228.0,0.4876,0.5851,4.7,0.8201,1,0,0
23.763611111111118,86.41333333333334,1.6404,228.0,0.4054,0.5814,4.7,0.8483,1,0,0
23.763611111111118,86.41361111111112,2.7394,228.0,0.308,0.5703,4.7,0.8766,1,0,0
23.763611111111118,86.41388888888889,3.1293,228.0,0.2848,0.5685,4.7,0.9049,1,0,0
23.763611111111118,86.41416666666667,2.3692,228.0,0.3423,0.5705,4.7,0.9332,1,0,0
23.763611111111118,86.41444444444446,3.3923,228.0,0.2712,0.564,4.7,0.9614,1,0,0
23.763611111111118,86.41472222222224,3.4791,228.0,0.2667,0.563,4.7,0.9897,1,0,0
23.763611111111118,86.415,3.098,228.0,0.2913,0.5648,4.7,1.018,1,0,0
23.763611111111118,86.41527777777779,2.7312,228.0,0.3199,0.5648,4.7,1.0463,1,0,0
23.763611111111118,86.41555555555557,3.0187,228.0,0.3066,0.5652,4.7,1.0746,1,0,0
23.763611111111118,86.41583333333334,3.4791,228.0,0.2883,0.5629,4.7,1.1028,1,0,0
23.763611111111118,86.41611111111112,2.6561,228.0,0.3536,0.5689,4.7,1.1311,1,0,0
23.763611111111118,86.4163888888889,4.2653,228.0,0.267,0.5502,4.7,1.1594,1,0,0
23.763333333333332,86.41250000000001,0.3427,228.0,0.7027,0.5889,4.7,0.7635,1,0,0
23.763333333333332,86.41277777777779,0.5051,228.0,0.6278,0.5889,4.7,0.7918,1,0,0
23.763333333333332,86.41305555555556,1.3836,228.0,0.4313,0.5807,4.7,0.8201,1,0,0
23.763333333333332,86.41333333333334,2.5252,228.0,0.3166,0.5732,4.7,0.8483,1,0,0
23.763333333333332,86.41361111111112,3.432,228.0,0.2601,0.5646,4.7,0.8766,1,0,0
23.763333333333332,86.41388888888889,3.4103,228.0,0.2648,0.5646,4.7,0.9049,1,0,0
23.763333333333332,86.41416666666667,2.8412,228.0,0.3032,0.5664,4.7,0.9332,1,0,0
23.763333333333332,86.41444444444446,2.8226,228.0,0.305,0.5703,4.7,0.9614,1,0,0
23.763333333333332,86.41472222222224,2.3923,228.0,0.338,0.5696,4.7,0.9897,1,0,0
23.763333333333332,86.415,0.6853,228.0,0.588,0.5807,4.7,1.018,1,0,0
23.763333333333332,86.41527777777779,2.2836,228.0,0.3487,0.5748,4.7,1.0463,1,0,0
23.763333333333332,86.41555555555557,1.441,228.0,0.4449,0.5842,4.7,1.0746,1,0,0
23.763333333333332,86.41583333333334,1.1851,228.0,0.4915,0.5851,4.7,1.1028,1,0,0
23.763333333333332,86.41611111111112,1.9198,228.0,0.4048,0.5777,4.7,1.1311,1,0,0
23.763333333333332,86.4163888888889,4.5558,228.0,0.2399,0.5527,4.7,1.1594,1,0,0
23.763333333333332,86.41666666666667,6.9291,228.0,0.1582,0.534,4.7,1.1877,1,0,0
23.76305555555556,86.41250000000001,1.0279,228.0,0.4849,0.5851,4.7,0.7635,1,0,0
23.76305555555556,86.41277777777779,1.441,228.0,0.4193,0.5807,4.7,0.7918,1,0,0
23.76305555555556,86.41305555555556,2.4508,228.0,0.3167,0.5751,4.7,0.8201,1,0,0
23.76305555555556,86.41333333333334,2.3923,228.0,0.3257,0.5756,4.7,0.8483,1,0,0
23.76305555555556,86.41361111111112,2.3974,228.0,0.329,0.5751,4.7,0.8766,1,0,0
23.76305555555556,86.41388888888889,2.7898,228.0,0.3014,0.5683,4.7,0.9049,1,0,0
23.76305555555556,86.41416666666667,2.7312,228.0,0.3071,0.5725,4.7,0.9332,1,0,0
23.76305555555556,86.41444444444446,2.2168,228.0,0.3492,0.5727,4.7,0.9614,1,0,0
23.76305555555556,86.41472222222224,3.2133,228.0,0.2745,0.5696,4.7,0.9897,1,0,0
23.76305555555556,86.415,1.6404,228.0,0.4086,0.5732,4.7,1.018,1,0,0
23.76305555555556,86.41527777777779,3.1293,228.0,0.2799,0.5689,4.7,1.0463,1,0,0
23.76305555555556,86.41555555555557,1.7176,228.0,0.4025,0.5777,4.7,1.0746,1,0,0
23.76305555555556,86.41583333333334,1.0551,228.0,0.5055,0.5883,4.7,1.1028,1,0,0
23.76305555555556,86.41611111111112,2.0552,228.0,0.38,0.5765,4.7,1.1311,1,0,0
23.76305555555556,86.4163888888889,4.1137,228.0,0.2481,0.5586,4.7,1.1594,1,0,0
23.76305555555556,86.41666666666667,5.0592,228.0,0.209,0.548,4.7,1.1877,1,0,0
23.76277777777778,86.41250000000001,2.2168,228.0,0.334,0.5765,4.7,0.7635,1,0,0
23.76277777777778,86.41277777777779,2.4357,228.0,0.3165,0.5717,4.7,0.7918,1,0,0
23.76277777777778,86.41305555555556,3.1293,228.0,0.2685,0.5696,4.7,0.8201,1,0,0
23.76277777777778,86.41333333333334,1.7176,228.0,0.3909,0.5807,4.7,0.8483,1,0,0
23.76277777777778,86.41361111111112,0.7922,228.0,0.5478,0.5851,4.7,0.8766,1,0,0
23.76277777777778,86.41388888888889,2.566,228.0,0.3147,0.5751,4.7,0.9049,1,0,0
23.76277777777778,86.41416666666667,2.2836,228.0,0.3392,0.5751,4.7,0.9332,1,0,0
23.76277777777778,86.41444444444446,0.6853,228.0,0.58,0.5838,4.7,0.9614,1,0,0
23.76277777777778,86.41472222222224,2.7394,228.0,0.3027,0.5685,4.7,0.9897,1,0,0
23.76277777777778,86.415,3.1018,228.0,0.2776,0.5658,4.7,1.018,1,0,0
23.76277777777778,86.41527777777779,3.432,228.0,0.2577,0.5634,4.7,1.0463,1,0,0
23.76277777777778,86.41555555555557,1.8523,228.0,0.383,0.5783,4.7,1.0746,1,0,0
23.76277777777778,86.41583333333334,1.1851,228.0,0.4766,0.5842,4.7,1.1028,1,0,0
23.76277777777778,86.41611111111112,2.2216,228.0,0.3571,0.5774,4.7,1.1311,1,0,0
23.76277777777778,86.4163888888889,3.063,228.0,0.2981,0.5689,4.7,1.1594,1,0,0
23.76277777777778,86.41666666666667,3.5615,228.0,0.2695,0.5629,4.7,1.1877,1,0,0
23.76277777777778,86.41694444444445,3.3522,228.0,0.2783,0.5658,4.7,1.2159,1,0,0
23.762500000000003,86.41250000000001,2.3149,228.0,0.3275,0.5727,4.7,0.7635,1,0,0
23.762500000000003,86.41277777777779,3.2615,228.0,0.26,0.5664,4.7,0.7918,1,0,0
23.762500000000003,86.41305555555556,3.432,228.0,0.2509,0.564,4.7,0.8201,1,0,0
23.762500000000003,86.41333333333334,1.6404,228.0,0.3997,0.5774,4.7,0.8483,1,0,0
23.762500000000003,86.41361111111112,1.0101,228.0,0.4977,0.5807,4.7,0.8766,1,0,0
23.762500000000003,86.41388888888889,2.3974,228.0,0.3261,0.5725,4.7,0.9049,1,0,0
23.762500000000003,86.41416666666667,3.4227,228.0,0.2557,0.5666,4.7,0.9332,1,0,0
23.762500000000003,86.41444444444446,1.789,228.0,0.3858,0.5765,4.7,0.9614,1,0,0
23.762500000000003,86.41472222222224,0.3427,228.0,0.716,0.5774,4.7,0.9897,1,0,0
23.762500000000003,86.415,2.0542,228.0,0.358,0.5765,4.7,1.018,1,0,0
23.762500000000003,86.41527777777779,2.0542,228.0,0.3585,0.5748,4.7,1.0463,1,0,0
23.762500000000003,86.41555555555557,1.6404,228.0,0.4053,0.5814,4.7,1.0746,1,0,0
23.762500000000003,86.41583333333334,2.0988,228.0,0.3595,0.5751,4.7,1.1028,1,0,0
23.762500000000003,86.41611111111112,2.7312,228.0,0.3114,0.5725,4.7,1.1311,1,0,0
23.762500000000003,86.4163888888889,2.4508,228.0,0.3368,0.5727,4.7,1.1594,1,0,0
23.762500000000003,86.41666666666667,2.8614,228.0,0.3065,0.5725,4.7,1.1877,1,0,0
23.762500000000003,86.41694444444445,3.5615,228.0,0.2597,0.5666,4.7,1.2159,1,0,0
23.762222222222228,86.41250000000001,1.3836,228.0,0.4326,0.5826,4.7,0.7635,1,0,0
23.762222222222228,86.41277777777779,2.3974,228.0,0.3238,0.5748,4.7,0.7918,1,0,0
23.762222222222228,86.41305555555556,1.7176,228.0,0.3912,0.5777,4.7,0.8201,1,0,0
23.762222222222228,86.41333333333334,1.5842,228.0,0.4077,0.5793,4.7,0.8483,1,0,0
23.762222222222228,86.41361111111112,2.2836,228.0,0.3351,0.5783,4.7,0.8766,1,0,0
23.762222222222228,86.41388888888889,1.0551,228.0,0.4901,0.5807,4.7,0.9049,1,0,0
23.762222222222228,86.41416666666667,2.7898,228.0,0.2962,0.5703,4.7,0.9332,1,0,0
23.762222222222228,86.41444444444446,2.4508,228.0,0.3222,0.5727,4.7,0.9614,1,0,0
23.762222222222228,86.41472222222224,2.2836,228.0,0.3361,0.5751,4.7,0.9897,1,0,0
23.762222222222228,86.415,1.8989,228.0,0.3728,0.5803,4.7,1.018,1,0,0
23.762222222222228,86.41527777777779,1.7129,228.0,0.3938,0.5807,4.7,1.0463,1,0,0
23.762222222222228,86.41555555555557,2.2168,228.0,0.3438,0.5732,4.7,1.0746,1,0,0
23.762222222222228,86.41583333333334,3.3923,228.0,0.2615,0.5648,4.7,1.1028,1,0,0
23.762222222222228,86.41611111111112,3.6915,228.0,0.248,0.5618,4.7,1.1311,1,0,0
23.762222222222228,86.4163888888889,2.9546,228.0,0.2952,0.5683,4.7,1.1594,1,0,0
