date,precipitation,temperature_mean,relative_humidity,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,month_sin,month_cos,landslide_event
2018-01-01,0.02,14.17,81.34,0.02,0.02,0.02,0.02,0.02,0.49999999999999994,0.8660254037844387,0
2018-01-02,0.46,12.06,84.49,0.46,0.48,0.48,0.48,0.48,0.49999999999999994,0.8660254037844387,0
2018-01-03,4.61,11.28,85.22,4.61,5.090000000000001,5.090000000000001,5.090000000000001,5.090000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-04,0.05,9.55,85.77,0.05,5.120000000000001,5.140000000000001,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-05,0.0,10.41,88.17,0.0,4.66,5.140000000000001,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-06,0.0,9.64,82.34,0.0,0.05,5.140000000000001,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-07,0.0,8.02,58.86,0.0,0.0,5.140000000000001,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-08,0.0,6.85,72.37,0.0,0.0,5.120000000000001,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-09,0.0,8.53,77.95,0.0,0.0,4.66,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-10,0.0,9.05,85.11,0.0,0.0,0.05,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-11,0.0,9.47,85.29,0.0,0.0,0.0,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-12,0.0,9.9,85.82,0.0,0.0,0.0,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-13,0.0,11.23,84.65,0.0,0.0,0.0,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-14,0.0,11.33,86.45,0.0,0.0,0.0,5.140000000000001,5.140000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-15,0.03,11.26,88.33,0.03,0.03,0.03,5.150000000000001,5.170000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-16,0.0,11.6,85.59,0.0,0.03,0.03,4.69,5.170000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-17,0.0,12.64,85.64,0.0,0.03,0.03,0.08,5.170000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-18,0.0,12.82,81.98,0.0,0.0,0.03,0.03,5.170000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-19,0.0,12.6,86.27,0.0,0.0,0.03,0.03,5.170000000000001,0.49999999999999994,0.8660254037844387,0
2018-01-20,0.0,12.56,87.63,0.0,0.0,0.03,0.03,5.170000000000001,0.49999999999999994,0.8660254037844387,0
