kaggle_idx,title,event_date,date_precision,state,district,location,latitude,longitude,event_type,description,kaggle_source,original_source,original_source_url,is_duplicate,verification_status,confidence,event_id
27,"Subsidence between unit location of 1st BN Sikkim Scouts and the road stretch (JNM axis) ahead of MS-8, Gangtok, East district, Sikkim (August 2018)",2018-08-00,Month-Year,Sikkim,Parsed District,"Subsidence between unit location of 1st BN Sikkim Scouts and the road stretch (JNM axis) ahead of MS-8, Gangtok, East district, Sikkim (August 2018)",,,LANDSLIDE,"During August 2018 subsidence occurred around “paleo-landslide near 1st BN Sikkim Scouts and the road stretch (JNM axis) ahead of MS-8 with development of 10-20m long cracks on roads, footpaths, culverts and on the floor of residential houses along with ground settlement....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_020
28,"Landslide incidence at Lokchao village, Tengnoupal District, Manipur (02 August 2018)",2018-08-02,Exact Day,Manipur,Parsed District,"Landslide incidence at Lokchao village, Tengnoupal District, Manipur (02 August 2018)",,102.5939,SLOPE FAILURE,"Excessive rainfall triggered the Lokchao rockslide (24°19´31.6´´N, 94°13´57.3´´E) occurred along Imphal-Moreh Road [NH-102] on 2nd August, 2018 blocking the road. The main causes of the slide includes extensive slope cutting exposing 18m steep cut slope....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_021
29,"Landslide incidence near Kabi, border between East and North Disitrict, Sikkim  (2nd August 2018)",2018-08-02,Exact Day,Sikkim,Parsed District,"Landslide incidence near Kabi, border between East and North Disitrict, Sikkim  (2nd August 2018)",,,LANDSLIDE,On 2nd  August 2018 incessant rainfall reactivated a landslide that occurred in mid-July along the state highway  about 22 km from Gangtok on Gangtok-Mangan road via Phoodong causing disruption of traffic. The landslide is a planner rock slide blocking the road for a week....,kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_022
30,"Landslide incidence at Kalikhola, Kangpokpi District, Manipur ( 23 July 2018)",2018-07-23,Exact Day,Manipur,Parsed District,"Landslide incidence at Kalikhola, Kangpokpi District, Manipur ( 23 July 2018)",,,LANDSLIDE,"Heavy rainfall triggered reactivation of Kalikhola landslide at Kangpokpi District, Manipur. A second landslide also was initiated in its vicinity. The debris from these adjacent landslides damaged a village foot track and blocked a nala (Kali Lok) resulting in formation of a small lake along the ri...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_023
31,"Landslide incidence at New Salem, New Kanan and Neigailong villages of Tamenglong District, Manipur (11th July 2018)",2018-07-11,Exact Day,Manipur,Parsed District,"Landslide incidence at New Salem, New Kanan and Neigailong villages of Tamenglong District, Manipur (11th July 2018)",,,LANDSLIDE,"Heavy rainfall triggered landslides at New Salem, New Kanan and Neigailong villages of Tamenglong  district on 11th July 2018 with reported loss of nine lives (two in New Salem, two in New Kanan and five in Neigailong village). At New salem, construction of house at the foot of unconsolidated dumped...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_024
32,"Landslide incidence at Kikruma, Phek district, Nagaland (July, 2018)",2018-07-00,Month-Year,Nagaland,Parsed District,"Landslide incidence at Kikruma, Phek district, Nagaland (July, 2018)",,,LANDSLIDE,"Heavy rainfall for one week during the last week of July, 2018 led to rising water level in the Sidzu river as well as saturation of the weak slope forming for the area around Kikruma village, leading to the initiation of a conspicuous debris slide. The landslide debris blocked the Sidzu river and l...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_025
33,"Landslide incidence at New Heaven-Lamlang Gate section of Imphal-Ukhrul road, Ukhrul district, Manipur (July 2018)",2018-07-00,Month-Year,Manipur,Parsed District,"Landslide incidence at New Heaven-Lamlang Gate section of Imphal-Ukhrul road, Ukhrul district, Manipur (July 2018)",,24.9929,LANDSLIDE,"The landslide along New Heaven-Lamlang Gate section of Old Imphal-Ukhrul road (24°59’34.4”N, 94°13’50.1”E) was blocked during the first week of July, 2018 (as per local residents) hindering traffic....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,True,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_026
35,"Landslide incidence along Lumding–Badarpur Railway Line, Dima Hasao district, Assam (14 June, 2018)",2018-06-14,Exact Day,Assam,Parsed District,"Landslide incidence along Lumding–Badarpur Railway Line, Dima Hasao district, Assam (14 June, 2018)",,305.3175,LANDSLIDE,"Incessant rainfall from 12th to 14th June, 2018 triggered landslides blocking the Lumding–Badarpur railway service in Dima Hasao district of Assam. A high 382 mm of rainfall was recorded on 14.06.2018 which triggered four landslides between 2:00 PM and 3:00 PM along the Lumding–Badarpur Railway Line...",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_027
36,"Landslide incidence south of Leiting village along NH-102A Ukhrul district, Manipur (14th June 2018)",2018-06-14,Exact Day,Manipur,Parsed District,"Landslide incidence south of Leiting village along NH-102A Ukhrul district, Manipur (14th June 2018)",,,LANDSLIDE,"On 14th June, 2018, heavy rainfall triggered landslide at about 1.5 km south of Leiting Village damaging and blocking traffic along NH-102A....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,PARTIALLY_VERIFIED,HIGH,KAG_NER_EV_028
37,"Landslide incidence on NH-37 at 5 km SSW of Kotlen, Noney district, Manipur (12th June 2018)",2018-06-12,Exact Day,Manipur,Parsed District,"Landslide incidence on NH-37 at 5 km SSW of Kotlen, Noney district, Manipur (12th June 2018)",24.7913,37.09,LANDSLIDE,"On 12th June 2018, heavy rainfall triggered a massive landslide along NH-37 about 5 km SSW of Kotlen (Lat: 24°47´28.7″N and Long: 93°44′8.4″E) and 12 nos of medium to small size landslides along the Highway....",kkhandekar/lanslide-recent-incidents-india,Geological Survey of India (GSI) Special Incident Bulletins (2016-2020),https://gsi.gov.in / https://bhukosh.gsi.gov.in,False,VERIFIED,HIGH,KAG_NER_EV_029
