event_id,event_type,latitude,longitude,terrain_susceptibility_index,susceptibility_class,slope
EVT_RAJ_001,BENCH_FAILURE,23.753889,86.416111,0.75,HIGH,36.910247802734375
EVT_RAJ_002,WEDGE_FAILURE,23.755556,86.414444,0.7,HIGH,32.11505126953125
EVT_RAJ_003,FIRE_INDUCED_GROUND_DEFORMATION,23.756389,86.414167,0.675,HIGH,30.816242218017575
EVT_RAJ_004,SUBSIDENCE,23.753611,86.416944,0.625,HIGH,34.324310302734375
EVT_RAJ_005,CONFIRMED_SLOPE_FAILURE,23.761822,86.417415,0.3,LOW,0.6853308081626892
EVT_RAJ_006,GROUND_COLLAPSE,23.749222,86.41498,0.234156,LOW,2.3755056858062744
EVT_RAJ_007,CONFIRMED_ROCKFALL,23.753611,86.416667,0.7,HIGH,37.25556564331055
EVT_RAJ_009,GROUND_FRACTURE,23.764043,86.412249,0.232452,LOW,1.185113549232483
EVT_RAJ_010,BENCH_FAILURE,23.757831,86.419891,0.197177,VERY LOW,2.07199501991272
