rank,latitude,longitude,terrain_susceptibility_index,susceptibility_class,elevation,slope,aspect,curvature,roughness,twi
1,23.75416666666667,86.41722222222224,0.76323,HIGH,154.0,20.175296783447266,124.13047790527344,0.0182123985141515,9.776515007019045,9.25932502746582
2,23.75416666666667,86.41611111111112,0.762217,HIGH,159.0,23.230772018432617,232.2550506591797,0.0147975739091634,11.103330612182615,9.179067611694336
3,23.75583333333334,86.41388888888889,0.761544,HIGH,203.0,20.91580581665039,262.7079467773437,-0.0125210238620638,9.018499374389648,9.195809364318848
4,23.755000000000003,86.41527777777779,0.760587,HIGH,150.0,23.183801651000977,231.4663848876953,0.0170741230249404,10.718623161315918,9.164155960083008
5,23.757222222222225,86.415,0.750489,HIGH,186.0,22.695905685424805,339.6464233398437,-0.0147975739091634,10.503379821777344,9.071791648864746
6,23.75666666666667,86.41472222222224,0.75,HIGH,163.0,26.89157485961914,314.54266357421875,0.0147975739091634,12.027745246887209,8.964548110961914
7,23.75388888888889,86.4163888888889,0.75,HIGH,160.0,32.69840240478516,207.3910675048828,0.0250420477241277,16.328418731689453,8.814306259155273
8,23.756388888888893,86.41444444444446,0.75,HIGH,166.0,30.357908248901367,288.5105285644531,0.0204889476299285,13.953184127807615,8.873872756958008
9,23.754722222222227,86.41527777777779,0.75,HIGH,160.0,28.542200088500977,218.0192108154297,0.0216272231191396,13.339813232421877,8.971001625061035
10,23.754722222222227,86.41805555555557,0.75,HIGH,175.0,24.685998916625977,134.00833129882812,-0.0147975739091634,11.288582801818848,8.947226524353027
11,23.75444444444445,86.41472222222224,0.75,HIGH,200.0,24.64950942993164,221.51466369628903,-0.0125210238620638,11.268879890441896,9.02424144744873
12,23.75416666666667,86.41583333333334,0.75,HIGH,170.0,28.20807266235352,223.65550231933597,0.0113827483728528,12.896549224853516,8.981547355651855
13,23.75388888888889,86.41694444444445,0.75,HIGH,157.0,26.80200958251953,163.78639221191406,0.0182123985141515,12.87643051147461,9.029059410095217
14,23.75388888888889,86.41611111111112,0.75,HIGH,172.0,36.910247802734375,215.10903930664065,0.0193506721407175,18.31682777404785,8.658568382263184
15,23.75555555555556,86.41472222222224,0.75,HIGH,155.0,28.328351974487305,247.5156097412109,0.0239037722349166,12.455352783203123,8.973347663879395
