feature,min,P5,P25,median,mean,P75,P95,max,std
elevation,134.0,160.0,200.0,207.0,204.944144,217.0,228.0,236.0,18.603495
slope,0.0,1.013694,2.450754,4.445918,6.75532,8.539616,20.789266,37.255566,6.403425
curvature,-0.019351,-0.00683,-0.002277,-0.0,3.1e-05,0.002277,0.007968,0.030733,0.005149
roughness,0.0,0.666667,1.227262,2.060804,3.119005,3.829708,9.102977,19.036676,2.877491
twi,8.641626,9.067319,9.530404,9.962476,10.042373,10.40773,11.354038,13.646056,0.716835
curvature_magnitude,0.0,0.0,0.001138,0.002277,0.00357,0.004553,0.011383,0.030733,0.003709
terrain_susceptibility_index,0.144925,0.177431,0.220841,0.273822,0.316133,0.360991,0.609379,0.76323,0.136258
